latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.933216,-88.82266,261.0,-18000,America/Chicago,GMT-5

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C)
2025-01-01,-2.7,-0.9,-4.9
2025-01-02,-3.5,-0.7,-6.1
2025-01-03,-6.6,-5.1,-8.7
2025-01-04,-9.0,-5.8,-12.5
2025-01-05,-8.0,-6.1,-9.8
2025-01-06,-5.0,-2.5,-8.1
2025-01-07,-7.2,-4.0,-11.2
2025-01-08,-7.4,-4.3,-11.3
2025-01-09,-6.5,-2.2,-11.2
2025-01-10,-2.8,-1.2,-5.8
2025-01-11,-2.8,-0.9,-5.0
2025-01-12,-1.6,1.8,-5.7
2025-01-13,-10.2,-6.9,-14.2
2025-01-14,-11.8,-8.8,-14.2
2025-01-15,-12.3,-6.9,-17.3
2025-01-16,-2.3,2.7,-6.2
2025-01-17,0.8,7.4,-5.1
2025-01-18,-4.0,1.0,-9.4
2025-01-19,-14.6,-10.3,-17.5
2025-01-20,-16.2,-12.6,-19.3
2025-01-21,-20.0,-17.8,-23.2
2025-01-22,-10.4,-3.7,-18.6
2025-01-23,-10.2,-5.1,-15.1
2025-01-24,-13.6,-7.1,-20.6
2025-01-25,-3.8,1.3,-8.0
2025-01-26,-6.6,-2.5,-10.4
2025-01-27,-2.3,4.6,-8.2
2025-01-28,1.7,6.5,-4.4
2025-01-29,2.4,6.3,-1.3
2025-01-30,3.0,9.7,-2.3
2025-01-31,2.8,4.8,-1.7
2025-02-01,-1.8,0.3,-3.9
2025-02-02,3.6,9.7,-0.2
2025-02-03,3.7,8.0,0.2
2025-02-04,-3.7,-0.3,-6.3
2025-02-05,-3.1,-0.2,-6.4
2025-02-06,-0.2,3.8,-2.4
2025-02-07,-4.6,0.5,-8.1
2025-02-08,-1.6,0.1,-4.3
2025-02-09,-3.9,-1.2,-6.1
2025-02-10,-4.3,0.8,-9.7
2025-02-11,-4.8,-2.2,-7.5
2025-02-12,-5.6,-3.3,-8.3
2025-02-13,-12.3,-6.9,-16.7
2025-02-14,-11.8,-5.1,-18.9
2025-02-15,-3.0,-1.9,-4.7
2025-02-16,-7.4,-4.3,-14.7
2025-02-17,-17.8,-15.7,-19.9
2025-02-18,-20.5,-17.0,-24.3
2025-02-19,-16.4,-14.4,-18.3
2025-02-20,-14.3,-10.0,-19.1
2025-02-21,-11.8,-8.0,-16.5
2025-02-22,-7.8,-3.6,-12.1
2025-02-23,-1.8,3.1,-7.0
2025-02-24,5.1,10.3,2.1
2025-02-25,4.7,11.1,0.2
2025-02-26,5.3,10.7,1.6
2025-02-27,3.6,9.3,0.3
2025-02-28,5.9,13.7,0.3
2025-03-01,-3.7,-0.3,-5.9
2025-03-02,-3.6,1.9,-9.6
2025-03-03,3.7,10.0,-0.7
2025-03-04,7.5,10.0,5.6
2025-03-05,3.9,8.4,-1.4
2025-03-06,-0.4,4.9,-4.6
2025-03-07,0.7,2.0,-0.9
2025-03-08,2.5,9.5,-4.6
2025-03-09,6.2,14.1,-1.7
2025-03-10,10.9,19.7,1.8
2025-03-11,7.9,13.0,0.7
2025-03-12,6.2,14.9,0.5
2025-03-13,7.9,17.0,-0.1
2025-03-14,16.4,24.2,9.1
2025-03-15,12.8,17.1,3.5
2025-03-16,-0.9,2.8,-4.8
2025-03-17,1.0,9.7,-7.0
2025-03-18,12.2,20.0,5.4
2025-03-19,8.1,11.7,1.7
2025-03-20,0.6,5.0,-1.9
2025-03-21,5.6,13.3,-2.6
2025-03-22,3.5,7.2,-2.5
2025-03-23,5.6,10.8,2.3
