latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.163443,113.27749,17.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C)
2025-01-01,16.5,22.2,11.1
2025-01-02,17.6,23.5,12.0
2025-01-03,16.6,21.1,12.6
2025-01-04,16.1,21.9,10.6
2025-01-05,17.1,21.9,12.8
2025-01-06,16.2,21.9,11.2
2025-01-07,16.2,22.2,10.1
2025-01-08,16.4,22.2,10.7
2025-01-09,15.5,21.0,10.5
2025-01-10,11.6,15.9,7.6
2025-01-11,11.4,16.0,7.8
2025-01-12,12.6,18.7,7.2
2025-01-13,14.9,21.3,7.6
2025-01-14,18.9,23.9,15.1
2025-01-15,17.9,20.1,14.7
2025-01-16,14.4,19.5,9.9
2025-01-17,14.2,19.8,8.9
2025-01-18,15.1,21.5,9.3
2025-01-19,16.5,23.0,10.4
2025-01-20,17.1,23.2,10.5
2025-01-21,17.4,23.2,11.6
2025-01-22,19.4,24.5,15.1
2025-01-23,19.5,23.1,16.0
2025-01-24,19.7,24.5,16.7
2025-01-25,19.2,24.4,15.0
2025-01-26,11.7,17.9,9.3
2025-01-27,11.6,16.7,7.2
2025-01-28,13.8,19.5,9.5
2025-01-29,15.3,21.0,10.9
2025-01-30,16.3,22.1,11.5
2025-01-31,19.0,24.7,13.9
2025-02-01,20.3,24.6,16.6
2025-02-02,16.6,19.4,13.9
2025-02-03,12.4,14.7,10.4
2025-02-04,12.5,18.2,7.9
2025-02-05,13.1,17.6,8.7
2025-02-06,15.0,19.6,11.7
2025-02-07,11.4,13.6,9.8
2025-02-08,11.0,15.5,8.1
2025-02-09,10.3,16.2,4.5
2025-02-10,13.5,19.1,8.2
2025-02-11,17.5,23.4,12.2
2025-02-12,20.8,26.2,17.3
2025-02-13,17.3,22.5,12.1
2025-02-14,18.7,24.4,13.1
2025-02-15,19.1,23.8,14.1
2025-02-16,19.8,24.2,16.5
2025-02-17,18.4,23.3,13.2
2025-02-18,17.7,21.7,15.0
2025-02-19,18.6,22.8,15.5
2025-02-20,20.5,26.3,16.6
2025-02-21,17.4,20.5,14.3
2025-02-22,16.3,19.6,14.1
2025-02-23,14.0,17.1,10.9
2025-02-24,13.6,19.9,8.0
2025-02-25,14.4,16.3,12.9
2025-02-26,14.9,19.3,12.1
2025-02-27,17.9,22.9,14.0
2025-02-28,19.7,26.4,14.1
2025-03-01,22.0,26.9,18.3
2025-03-02,23.8,29.3,20.4
2025-03-03,21.8,25.8,19.9
2025-03-04,19.0,22.6,15.9
2025-03-05,13.8,15.5,11.2
2025-03-06,12.2,16.3,9.7
2025-03-07,11.1,14.9,8.6
2025-03-08,13.6,18.1,9.7
2025-03-09,17.8,23.4,13.6
2025-03-10,20.0,25.0,14.5
2025-03-11,21.5,26.1,16.7
2025-03-12,22.4,27.4,17.8
2025-03-13,23.5,28.1,20.1
2025-03-14,23.4,27.5,20.4
2025-03-15,19.6,22.1,14.5
2025-03-16,14.7,19.0,11.1
2025-03-17,14.8,19.2,11.2
2025-03-18,15.8,20.3,13.0
2025-03-19,16.1,21.9,11.4
2025-03-20,17.4,23.1,12.1
2025-03-21,18.5,24.6,12.6
2025-03-22,19.5,25.6,13.3
2025-03-23,20.8,27.1,15.1
2025-03-24,22.9,30.3,16.3
2025-03-25,24.6,32.6,18.0
2025-03-26,24.9,32.4,19.1
2025-03-27,25.9,33.1,20.3
2025-03-28,23.4,26.1,14.7
2025-03-29,12.1,14.0,9.1
2025-03-30,10.2,12.1,8.7
2025-03-31,10.6,13.3,8.9
2025-04-01,14.4,20.8,9.9
2025-04-02,16.9,23.0,10.1
2025-04-03,19.5,25.7,13.2
2025-04-04,20.1,25.8,14.7
2025-04-05,19.4,21.8,17.9
2025-04-06,20.4,24.6,16.8
2025-04-07,21.7,27.4,16.4
2025-04-08,23.3,29.2,17.5
2025-04-09,24.8,31.3,20.8
2025-04-10,26.3,31.3,21.8
2025-04-11,26.7,32.1,22.5
2025-04-12,23.8,30.8,18.5
2025-04-13,18.7,21.5,15.9
2025-04-14,21.2,28.4,14.3
2025-04-15,24.2,31.5,17.7
2025-04-16,23.6,30.4,17.4
2025-04-17,25.0,31.0,19.9
2025-04-18,24.6,27.5,22.6
2025-04-19,26.1,29.9,24.4
2025-04-20,27.2,32.2,24.7
2025-04-21,27.2,32.1,23.7
2025-04-22,27.5,34.2,23.7
2025-04-23,26.5,31.6,24.0
2025-04-24,25.6,31.3,23.2
2025-04-25,21.5,23.2,19.6
2025-04-26,23.0,27.4,19.2
2025-04-27,23.5,28.0,21.3
2025-04-28,25.7,30.4,22.3
2025-04-29,24.9,28.9,20.7
2025-04-30,24.9,29.6,20.4
2025-05-01,24.6,27.6,22.9
2025-05-02,26.5,31.7,22.4
2025-05-03,25.5,29.9,23.2
2025-05-04,25.8,29.0,22.9
2025-05-05,25.9,29.9,23.0
2025-05-06,25.4,29.6,22.4
2025-05-07,24.9,28.0,23.1
2025-05-08,26.5,30.3,23.8
2025-05-09,25.3,26.9,24.1
2025-05-10,25.3,30.6,22.5
2025-05-11,21.8,26.2,16.6
2025-05-12,23.0,28.5,17.2
2025-05-13,24.0,29.0,19.6
2025-05-14,25.9,30.4,22.0
2025-05-15,27.0,30.9,23.5
2025-05-16,26.5,30.8,24.3
2025-05-17,26.2,28.7,24.6
2025-05-18,26.0,30.7,24.0
2025-05-19,25.9,30.8,23.5
2025-05-20,26.5,29.1,24.7
2025-05-21,27.3,32.1,25.3
2025-05-22,27.9,32.0,25.3
2025-05-23,26.8,29.5,25.1
2025-05-24,24.9,27.3,22.7
2025-05-25,22.7,24.6,21.2
2025-05-26,23.0,26.8,19.8
2025-05-27,24.0,27.2,20.3
2025-05-28,24.8,29.5,22.9
2025-05-29,23.6,25.4,22.4
2025-05-30,24.4,28.3,21.7
2025-05-31,26.2,29.9,23.0
2025-06-01,27.4,32.1,23.8
2025-06-02,28.1,31.6,25.6
2025-06-03,24.9,26.7,22.8
2025-06-04,25.9,29.1,23.3
2025-06-05,27.3,31.4,24.7
2025-06-06,28.0,32.5,24.2
2025-06-07,29.2,34.0,25.4
2025-06-08,29.6,33.7,26.2
2025-06-09,30.3,34.7,26.5
2025-06-10,29.4,34.4,26.3
2025-06-11,28.1,34.4,24.5
2025-06-12,27.4,32.1,25.0
2025-06-13,27.0,30.2,24.8
2025-06-14,26.3,29.7,24.3
2025-06-15,26.9,29.7,25.3
