latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.319859,114.198555,21.0,28800,Asia/Hong_Kong,GMT+8

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C)
2025-01-01,15.9,17.5,15.0
2025-01-02,17.0,20.0,14.7
2025-01-03,16.6,20.8,12.9
2025-01-04,15.4,19.0,11.3
2025-01-05,17.7,22.0,13.7
2025-01-06,16.1,20.9,12.0
2025-01-07,15.8,18.8,13.7
2025-01-08,16.4,21.0,13.6
2025-01-09,15.8,20.5,11.3
2025-01-10,11.8,16.1,7.4
2025-01-11,11.3,15.7,7.0
2025-01-12,12.3,17.7,7.7
2025-01-13,14.3,18.0,10.9
2025-01-14,16.3,19.5,14.5
2025-01-15,17.2,21.4,14.6
2025-01-16,14.3,19.2,9.7
2025-01-17,13.4,18.1,9.0
2025-01-18,14.8,19.6,11.6
2025-01-19,15.6,21.9,10.1
2025-01-20,16.0,21.0,11.9
2025-01-21,16.1,18.9,13.6
2025-01-22,15.6,16.8,14.5
2025-01-23,17.2,20.7,15.6
2025-01-24,16.7,19.1,15.4
2025-01-25,16.6,18.7,15.2
2025-01-26,13.7,15.8,10.6
2025-01-27,11.8,16.6,7.5
2025-01-28,13.5,19.1,8.8
2025-01-29,14.0,17.8,10.5
2025-01-30,14.9,17.1,12.5
2025-01-31,17.1,19.9,15.0
2025-02-01,18.4,21.7,15.9
2025-02-02,17.6,20.2,15.6
2025-02-03,14.0,17.0,11.2
2025-02-04,12.1,17.1,8.6
2025-02-05,13.9,16.8,10.7
2025-02-06,16.3,19.5,14.3
2025-02-07,13.2,16.0,10.4
2025-02-08,11.6,15.7,7.8
2025-02-09,11.0,15.6,5.5
2025-02-10,14.7,19.4,10.5
2025-02-11,16.5,20.1,13.9
2025-02-12,18.4,21.2,16.5
2025-02-13,16.8,20.2,13.3
2025-02-14,16.0,18.1,14.7
2025-02-15,18.1,22.1,15.6
2025-02-16,20.2,27.1,15.2
2025-02-17,17.8,21.0,15.2
2025-02-18,17.0,20.7,15.0
2025-02-19,16.0,18.3,14.2
2025-02-20,17.3,20.9,15.1
2025-02-21,17.0,21.0,14.3
2025-02-22,15.9,17.9,14.5
2025-02-23,15.3,18.4,12.1
2025-02-24,13.1,17.7,8.3
2025-02-25,15.6,20.0,13.0
2025-02-26,15.9,20.1,13.8
2025-02-27,17.1,21.7,14.7
2025-02-28,19.1,23.5,15.6
2025-03-01,20.4,23.1,18.5
2025-03-02,22.3,26.4,19.8
2025-03-03,22.7,27.0,20.3
2025-03-04,22.1,26.5,19.8
2025-03-05,17.7,19.8,15.9
2025-03-06,12.3,16.2,9.6
2025-03-07,12.0,14.7,9.4
2025-03-08,14.7,20.6,10.1
2025-03-09,16.7,19.4,14.7
2025-03-10,18.5,22.8,15.4
2025-03-11,19.9,24.0,16.9
2025-03-12,20.8,25.2,17.8
2025-03-13,23.0,27.8,19.5
2025-03-14,21.5,24.0,19.8
2025-03-15,21.1,26.8,16.4
2025-03-16,15.9,19.9,12.3
2025-03-17,14.9,19.1,11.3
2025-03-18,15.9,20.7,13.2
2025-03-19,16.0,20.7,11.9
2025-03-20,17.5,22.1,13.4
2025-03-21,18.3,23.7,13.4
2025-03-22,19.2,24.5,14.5
2025-03-23,19.5,25.1,14.4
2025-03-24,20.2,26.4,15.4
2025-03-25,21.3,28.0,17.4
2025-03-26,21.8,25.2,18.7
2025-03-27,22.7,26.3,19.9
2025-03-28,22.8,26.5,16.9
2025-03-29,15.3,18.5,11.5
2025-03-30,11.7,15.5,10.0
2025-03-31,11.5,14.3,9.4
2025-04-01,14.6,21.6,9.8
2025-04-02,16.1,21.1,11.6
2025-04-03,18.4,23.7,14.6
2025-04-04,18.7,21.2,16.7
2025-04-05,18.8,20.3,17.4
2025-04-06,19.3,24.2,17.0
2025-04-07,19.8,23.4,17.1
2025-04-08,21.0,25.1,17.9
2025-04-09,22.2,26.5,19.2
2025-04-10,22.9,27.8,20.8
2025-04-11,23.0,25.8,20.2
2025-04-12,21.9,25.0,16.1
2025-04-13,19.0,22.8,16.1
2025-04-14,20.4,26.1,15.1
2025-04-15,23.6,30.7,17.8
2025-04-16,22.0,26.0,18.8
2025-04-17,22.7,26.5,19.4
2025-04-18,23.8,27.3,21.5
2025-04-19,24.7,27.7,23.1
2025-04-20,24.8,27.9,23.5
2025-04-21,25.0,28.5,22.9
2025-04-22,25.0,27.7,23.1
2025-04-23,25.6,28.7,23.8
2025-04-24,25.6,28.7,23.5
2025-04-25,23.5,26.8,21.8
2025-04-26,22.3,24.1,20.6
2025-04-27,23.4,25.8,21.9
2025-04-28,24.3,27.6,22.3
2025-04-29,23.4,25.7,21.9
2025-04-30,23.6,26.5,21.6
2025-05-01,24.3,27.4,22.3
2025-05-02,25.4,30.1,22.3
2025-05-03,25.1,27.9,22.8
2025-05-04,25.3,28.1,22.7
2025-05-05,26.0,28.5,23.8
2025-05-06,26.0,30.5,24.3
2025-05-07,24.5,26.4,23.1
2025-05-08,25.5,27.7,23.6
2025-05-09,26.3,30.6,24.3
2025-05-10,25.4,29.9,22.8
2025-05-11,21.8,26.8,16.0
2025-05-12,22.7,26.4,18.4
2025-05-13,23.8,26.2,21.8
2025-05-14,25.1,27.7,23.2
2025-05-15,25.9,28.4,23.9
2025-05-16,26.3,29.0,24.3
2025-05-17,26.6,29.6,24.4
2025-05-18,26.4,29.0,24.8
2025-05-19,27.0,30.8,24.8
2025-05-20,27.2,30.6,25.4
2025-05-21,27.6,30.7,25.6
2025-05-22,28.5,31.8,25.9
2025-05-23,27.4,30.1,25.0
2025-05-24,27.0,32.2,23.7
2025-05-25,24.4,27.5,22.3
2025-05-26,24.3,27.6,20.9
2025-05-27,25.4,28.3,23.1
2025-05-28,25.5,27.3,24.1
2025-05-29,24.8,26.6,23.9
2025-05-30,24.1,25.6,22.5
2025-05-31,25.2,26.9,23.6
2025-06-01,26.4,28.8,24.4
2025-06-02,27.6,30.6,25.3
2025-06-03,27.1,30.3,25.5
2025-06-04,24.7,25.4,24.1
2025-06-05,25.4,27.8,23.7
2025-06-06,26.3,28.7,24.3
2025-06-07,27.2,30.7,24.7
2025-06-08,28.0,31.3,25.7
2025-06-09,28.3,31.7,26.0
2025-06-10,28.0,31.3,25.5
2025-06-11,26.9,29.8,24.9
2025-06-12,26.2,29.0,24.5
2025-06-13,26.5,29.3,24.9
2025-06-14,26.9,29.3,25.0
2025-06-15,27.3,28.6,26.2
2025-06-16,26.6,28.5,24.6
2025-06-17,25.2,26.2,24.2
2025-06-18,26.9,29.0,25.3
2025-06-19,27.0,29.1,25.1
2025-06-20,26.2,27.8,24.8
2025-06-21,26.7,29.2,25.0
2025-06-22,27.1,29.4,25.5
2025-06-23,27.6,29.7,25.5
2025-06-24,28.1,31.1,26.0
2025-06-25,28.1,31.0,25.5
2025-06-26,26.4,28.1,25.3
2025-06-27,26.1,28.7,24.4
2025-06-28,26.3,28.7,24.4
2025-06-29,27.0,28.6,25.8
2025-06-30,26.6,28.0,25.4
2025-07-01,25.9,28.2,24.4
2025-07-02,27.2,29.4,25.5
2025-07-03,28.0,30.9,25.6
2025-07-04,27.9,30.3,25.5
2025-07-05,28.3,31.9,25.9
2025-07-06,28.5,32.3,25.3
2025-07-07,29.6,33.7,27.4
2025-07-08,28.6,30.8,27.3
2025-07-09,28.1,31.2,25.7
2025-07-10,26.5,28.9,25.3
2025-07-11,26.7,28.2,25.1
2025-07-12,27.4,29.9,25.2
2025-07-13,28.3,31.0,26.4
