latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.168716,-86.84418,178.0,-18000,America/Chicago,GMT-5

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C)
2025-01-01,3.3,5.7,-0.9
2025-01-02,1.5,6.9,-3.3
2025-01-03,2.5,4.8,-1.2
2025-01-04,0.3,4.1,-3.4
2025-01-05,5.4,11.3,0.8
2025-01-06,1.0,12.2,-2.6
2025-01-07,-1.7,0.0,-3.1
2025-01-08,-2.6,-0.5,-4.7
2025-01-09,-3.1,1.2,-7.3
2025-01-10,-1.0,-0.1,-1.7
2025-01-11,-1.3,0.4,-4.4
2025-01-12,-0.8,4.0,-5.4
2025-01-13,-0.8,2.2,-5.3
2025-01-14,-0.4,7.9,-5.8
2025-01-15,-1.9,4.0,-6.6
2025-01-16,3.7,9.7,-0.5
2025-01-17,5.3,12.4,-1.9
2025-01-18,6.8,10.7,2.0
2025-01-19,-2.9,1.6,-9.7
2025-01-20,-9.6,-5.7,-13.3
2025-01-21,-7.2,-3.9,-10.8
2025-01-22,-6.9,0.1,-13.2
2025-01-23,-0.1,5.8,-5.4
2025-01-24,-2.2,1.6,-4.4
2025-01-25,2.0,10.3,-3.7
2025-01-26,4.0,7.6,-0.1
2025-01-27,2.9,7.4,-1.3
2025-01-28,4.7,11.4,-0.8
2025-01-29,8.8,15.2,4.2
2025-01-30,8.0,15.4,3.1
2025-01-31,14.7,17.8,9.2
2025-02-01,7.7,10.5,5.1
2025-02-02,10.7,18.0,4.9
2025-02-03,14.4,20.4,9.0
2025-02-04,12.7,15.6,9.7
2025-02-05,12.5,18.3,8.5
2025-02-06,16.7,21.6,7.4
2025-02-07,7.6,10.0,5.6
2025-02-08,15.2,21.8,7.7
2025-02-09,4.4,7.1,1.7
2025-02-10,4.4,8.7,-0.1
2025-02-11,5.2,7.3,3.7
2025-02-12,9.2,12.6,5.4
2025-02-13,1.9,9.9,-3.0
2025-02-14,0.7,6.6,-4.6
2025-02-15,13.3,19.1,6.4
2025-02-16,4.5,17.3,-1.0
2025-02-17,-1.4,2.4,-5.4
2025-02-18,-1.3,2.0,-4.0
2025-02-19,-5.5,-3.6,-7.2
2025-02-20,-9.5,-7.4,-11.6
2025-02-21,-7.3,-1.0,-13.7
2025-02-22,-1.1,5.2,-7.1
2025-02-23,1.5,9.0,-4.6
2025-02-24,6.0,14.6,-1.7
2025-02-25,11.4,20.3,4.9
2025-02-26,13.0,23.0,4.7
2025-02-27,12.1,16.5,8.0
2025-02-28,10.8,18.2,2.2
2025-03-01,7.8,13.8,0.4
2025-03-02,1.1,6.3,-3.6
2025-03-03,5.7,13.8,-1.6
2025-03-04,13.8,19.3,8.5
2025-03-05,7.9,13.9,2.0
