latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.474516,-84.28909,69.0,-14400,America/New_York,GMT-4

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C)
2025-01-01,11.9,16.2,7.4
2025-01-02,8.5,14.6,2.7
2025-01-03,9.1,16.6,2.4
2025-01-04,8.4,13.9,3.1
2025-01-05,10.2,15.1,5.4
2025-01-06,14.2,19.1,3.8
2025-01-07,3.8,8.8,-0.2
2025-01-08,4.2,9.8,-0.1
2025-01-09,3.7,9.8,-1.7
2025-01-10,7.7,14.0,2.2
2025-01-11,6.4,11.7,2.2
2025-01-12,4.6,11.3,-2.4
2025-01-13,7.1,8.7,5.1
2025-01-14,7.4,13.9,2.3
2025-01-15,9.4,15.5,6.3
2025-01-16,10.1,16.7,5.5
2025-01-17,10.0,17.4,3.5
2025-01-18,14.3,21.5,8.2
2025-01-19,13.6,16.4,4.1
2025-01-20,2.3,6.3,-1.5
2025-01-21,2.5,8.9,-1.2
2025-01-22,-1.6,2.2,-5.0
2025-01-23,-1.6,4.2,-5.9
2025-01-24,0.5,5.4,-3.7
2025-01-25,4.2,11.9,-2.1
2025-01-26,7.1,17.2,-1.2
2025-01-27,10.9,17.6,5.4
2025-01-28,12.2,17.8,7.3
2025-01-29,13.2,21.7,6.8
2025-01-30,14.5,23.2,8.4
2025-01-31,17.4,23.9,12.7
2025-02-01,15.0,21.2,9.3
2025-02-02,14.8,22.7,8.0
2025-02-03,15.0,22.6,9.8
2025-02-04,16.5,25.1,12.2
2025-02-05,17.8,26.3,12.5
2025-02-06,17.7,25.1,13.5
2025-02-07,19.9,26.8,17.0
2025-02-08,18.8,25.7,15.7
2025-02-09,19.2,26.4,16.3
2025-02-10,20.1,25.2,17.2
2025-02-11,18.0,22.2,15.3
2025-02-12,20.7,24.8,17.5
2025-02-13,20.5,22.7,15.5
2025-02-14,15.5,21.9,9.2
2025-02-15,17.9,24.0,13.4
2025-02-16,18.8,21.8,13.4
2025-02-17,9.1,15.1,3.4
2025-02-18,10.5,18.3,3.9
2025-02-19,11.5,15.5,9.5
2025-02-20,8.2,10.9,3.8
2025-02-21,4.5,10.8,-1.4
2025-02-22,9.1,17.4,2.4
2025-02-23,10.1,14.4,6.6
2025-02-24,13.0,19.5,8.9
2025-02-25,16.3,23.5,10.0
2025-02-26,16.2,25.2,8.4
2025-02-27,16.8,24.1,10.8
2025-02-28,15.5,22.5,9.0
2025-03-01,16.0,24.3,9.9
2025-03-02,13.0,17.4,8.2
2025-03-03,11.5,18.5,5.9
2025-03-04,16.6,23.2,10.3
2025-03-05,18.5,23.4,13.7
2025-03-06,11.8,16.9,7.5
2025-03-07,12.6,21.2,6.0
2025-03-08,16.1,19.8,12.1
2025-03-09,18.4,23.8,14.1
2025-03-10,15.0,17.1,11.2
2025-03-11,15.2,23.9,8.0
2025-03-12,16.1,24.5,10.3
2025-03-13,16.3,21.9,11.4
2025-03-14,18.7,25.6,13.3
2025-03-15,19.8,24.6,15.3
2025-03-16,21.4,27.5,16.1
2025-03-17,14.1,18.9,9.2
2025-03-18,15.2,24.2,7.6
2025-03-19,16.2,24.7,9.4
2025-03-20,16.3,22.3,9.5
2025-03-21,11.0,18.5,4.5
2025-03-22,13.8,21.9,6.8
2025-03-23,15.7,24.1,8.8
2025-03-24,16.4,23.4,11.2
2025-03-25,18.1,25.7,11.4
2025-03-26,19.6,27.2,13.7
2025-03-27,19.1,26.1,12.9
2025-03-28,19.0,26.0,12.7
2025-03-29,20.3,25.4,16.6
2025-03-30,20.5,25.0,18.4
2025-03-31,20.8,25.4,18.2
2025-04-01,21.3,27.7,17.6
2025-04-02,23.6,29.2,20.3
2025-04-03,23.4,27.7,19.8
2025-04-04,23.6,28.1,19.9
2025-04-05,23.0,27.7,19.1
2025-04-06,23.2,27.2,20.2
2025-04-07,20.9,23.8,14.8
2025-04-08,15.2,21.2,9.9
2025-04-09,16.2,22.9,9.9
2025-04-10,17.8,24.9,11.0
2025-04-11,18.2,24.7,14.0
2025-04-12,15.6,21.4,10.3
